date,weight_kg
20/08/2024,8.55
21/08/2024,9.2
22/08/2024,9.56
23/08/2024,9.34
24/08/2024,9.75
25/08/2024,8.92
26/08/2024,9.97
27/08/2024,9.96
28/08/2024,10.25
29/08/2024,10.08
30/08/2024,10.16
31/08/2024,10.23
01/09/2024,10.6
02/09/2024,10.95
03/09/2024,10.59
04/09/2024,10.82
05/09/2024,10.9
06/09/2024,11.33
07/09/2024,10.88
08/09/2024,11.09
09/09/2024,11.75
10/09/2024,11.61
11/09/2024,11.77
12/09/2024,11.68
13/09/2024,12.05
14/09/2024,11.91
15/09/2024,11.88
16/09/2024,11.56
17/09/2024,12.01
18/09/2024,11.91
19/09/2024,11.91
20/09/2024,12.3
21/09/2024,12.05
22/09/2024,12.3
23/09/2024,12.23
24/09/2024,11.98
25/09/2024,12.11
26/09/2024,12.48
27/09/2024,13.05
28/09/2024,12.96
29/09/2024,13.08
30/09/2024,13.35
01/10/2024,13.89
02/10/2024,13.45
03/10/2024,13.33
04/10/2024,13.33
05/10/2024,13.51
12/10/2024,14.69
13/10/2024,15.69
14/10/2024,15.83
15/10/2024,15.84
16/10/2024,15.72
17/10/2024,16.01
18/10/2024,15.38
19/10/2024,15.38
20/10/2024,15.68
21/10/2024,15.75
22/10/2024,15.74
23/10/2024,15.58
24/10/2024,16.05
25/10/2024,15.86
26/10/2024,16.02
27/10/2024,16.0
28/10/2024,16.3
29/10/2024,16.02
30/10/2024,16.23
31/10/2024,16.55
01/11/2024,16.33
02/11/2024,16.84
03/11/2024,17.14
04/11/2024,16.8
05/11/2024,16.88
06/11/2024,17.28
07/11/2024,16.31
08/11/2024,16.64
09/11/2024,17.17
10/11/2024,18.01
11/11/2024,17.51
12/11/2024,17.59
13/11/2024,17.36
14/11/2024,17.67
15/11/2024,17.7
16/11/2024,17.64
18/11/2024,17.6
19/11/2024,17.17
20/11/2024,17.92
21/11/2024,17.83
22/11/2024,17.98
23/11/2024,17.95
24/11/2024,18.1
25/11/2024,17.89
26/11/2024,17.83
27/11/2024,17.7
28/11/2024,17.45
29/11/2024,18.28
30/11/2024,17.71
01/12/2024,18.11
